Date,Menu,Meal
9/3/2013,"WG Italian Chicken Sandwich On Whole Grain Bun
Whole Grain Cheese Pizza
Turkey & Cheese Sandwich On Whole Wheat Bread",lunch
9/4/2013,"Hot BBQ Turkey Sandwich on Whole Grain Bun
Italian Dunkers
Sun Butter & Jelly
Sandwich & String Cheese",lunch
9/5/2013,"WG Pepperoni Pizza
Turkey Hot Dog on a bun
Chicken Caesar on a Hearty Grain Wrap",lunch
9/6/2013,"Whole Grain Chicken Corn Dog
Crispy Chicken on Whole Grain Bun
Vegetarian Taco Salad & Tortilla Chips",lunch
9/9/2013,"Cheeseburger on a Whole Grain Bun
WG Bean & Cheese Burrito
Turkey Ham & Cheese on a Hearty Grain Wrap",lunch
9/10/2013,"Chicken Soft Tacos
Whole Grain Cheese Pizza
Turkey & Cheese Sandwich on Whole Wheat Bread",lunch
9/11/2013,"Beef Teriyaki Dippers & Brown Rice
Italian Dunkers
Sun Butter & Jelly
Sandwich & String Cheese",lunch
9/12/2013,"Breakfast for Lunch
Waffles & Sausage
Turkey Hot Dog on a Bun
Chicken Caesar on Heart Grain Wrap",lunch
9/13/2013,"Orange Chicken & Brown Rice
Crispy Chicken on a Whole Grain Bun
Vegetarian Taco Salad & Tortilla Chips",lunch
9/16/2013,"WG Spaghetti & Meatballs w/Marinara Sauce
WG Bean & Cheese Burrito
Turkey Ham & Cheese on a Hearty Grain Wrap",lunch
9/17/2013,"Beef Soft Tacos
Whole Grain Cheese Pizza
Turkey & Cheese Sandwich on Whole Whear Bread",lunch
9/18/2013,"WG Chicken Nuggets & Brown Rice
Italian Dunkers
Sun Butter & Jelly
Sandwich & String Cheese",lunch
9/19/2013,"Nachos with Beans & Cheese
Turkey Hot Dog on a Bun
Chicken Caesar on Hearty Grain Wrap",lunch
9/20/2013,"Macaroni & Cheese w/ Diced Ham& Wheat Roll
Crispy Chicken on a Whole Grain Bun
Vegetarian Taco Salad & Tortilla Chips",lunch
9/23/2013,"Cheeseburger on a Whole Grain Bun
WG Bean & Cheese Burrito*
Turkey Ham& cheese on a Hearty Grain Wrap",lunch
9/24/2013,"Italian Chicken Sandwich on Whole Grain Bun
Whole Grain Cheese Pizza*
Turkey Cheese Sandwich on Whole Wheat Bread",lunch
9/25/2013,"Beef Teriyaki Dunkers
Brown Rice
Italian Dunkers*
Sun Butter & Jelly
Sandwich & String Cheese",lunch
9/26/2013,"WG Pepperoni Pizza
Turkey Hot Dog on a Bun
Chicken Caesar on a Hearty Grain Wrap",lunch
9/27/2013,"Whole Grain Chicken corn Dog
Crispy Chicken on a Whole Grain Bun
Vegetarian Taco Salad* & Tortilla Chips",lunch
