Date,Menu,Meal
3/1/2013,"Whole Grain Chicken Corn Dog
Hamburger on Whole Grain Bun
*Cheese or Pepperoni Pizza
Turkey & Cheese Sandwich on Whole Wheat
*Vegetarian Taco Salad &Tortilla Chips",lunch
3/4/2013,"*Nachos with Beans & Cheese
Whole Grain Chicken Corn Dog
Rib b Que on a Bun
*Cheese or Pepperoni Pizza
Chicken Taco Salad & Tortilla Chips",lunch
3/5/2013,"Chicken Hip Dipper & Brown Rice
Cheeseburger on Whole Grain Bun
*Bean & Cheese Burrito
Whole Grain *Cheese Quesadilla
Turkey & Cheese Sandwich on Whole Wheat",lunch
3/6/2013,"Hot Ham & Cheese on Whole Grain Bun
Spaghetti & Meatballs with Marinara Sauce
Turkey Hot Dog on a Bun
*Peanut Butter or *Sun Butter & Jelly on Whole Wheat w/String Cheese
*Cheese or Pepperoni Pizza",lunch
3/7/2013,"Teriyaki Beef Dippers & Brown Rice
Whole Grain Chicken Nuggets & Wheat Roll
Chef Salad & Wheat Roll
*Yogurt & String Cheese w/Cinnamon Goldfish Grahams
Half Ham & Cheese Sandwich on Whole Wheat & Sunflower Seeds",lunch
3/8/2013,"Fish Patty on Whole Grain Bun
Chicken Patty on Whole Grain Bun
Grilled Cheese on Whole Wheat Bread
*Italian Dunkers & Marinara Sauce
Tuna Sandwich on WholeWheat Bread",lunch
3/11/2013,"*Rainbow Chili & Tortilla Chips
Whole Grain Chicken Corn Dog
Rib b Que on a Bun
*Cheese or Pepperoni Pizza
Chicken Taco Salad & Tortilla Chips",lunch
3/12/2013,"Beef Soft Tacos
Cheeseburger on Whole Grain Bun
*Bean & Cheese Burrito
Whole Grain *Cheese Quesadilla
Turkey & Cheese Sandwich on Whole Wheat",lunch
3/13/2013,"Meatball Sub on a Bun
Spaghetti & Meatballs with Marinara Sauce
Turkey Hot Dog on a Bun
*Peanut Butter or *Sun Butter & Jelly on Whole Wheat w/String Cheese
*Cheese or Pepperoni Pizza",lunch
3/14/2013,"Turkey Gravy w/Mashed Potatoes & Wheat Roll
Whole Grain Chicken Nuggets & Wheat Roll
Chef Salad & Wheat Roll
*Yogurt & String Cheese w/Cinnamon Goldfish Grahams
Half Ham & Cheese Sandwich on Whole Wheat & Sunflower Seeds",lunch
3/15/2013,"Fish Sticks & Brown Rice
Chicken Patty on Whole Grain Bun
Grilled Cheese on Whole Wheat Bread
*Italian Dunkers & Marinara Sauce
Tuna Sandwich on Whole Wheat Bread",lunch
3/18/2013,"Turkey & Cheese Hearty Grain Wrap
Whole Grain Chicken Corn Dog
Rib b Que on a Bun
*Cheese or Pepperoni Pizza
Chicken Taco Salad & Tortilla Chips",lunch
3/19/2013,"Chicken Tenders & Brown Rice
Cheeseburger on Whole Grain Bun
*Bean & Cheese Burrito
Whole Grain *Cheese Quesadilla
Turkey & Cheese Sandwich on Whole Wheat",lunch
3/20/2013,"Chicken Quesadilla 
Spaghetti & Meatballs with Marinara Sauce
Turkey Hot Dog on a Bun
*Peanut Butter or *Sun Butter & Jelly on Whole Wheat w/String Cheese
*Cheese or Pepperoni Pizza",lunch
3/21/2013,"Beefy Macaroni
Whole Grain Chicken Nuggets & Wheat Roll
Chef Salad & Wheat Roll
*Yogurt & String Cheese w/Cinnamon Goldfish Grahams
Half Ham & Cheese Sandwich on Whole Wheat & Sunflower Seeds",lunch
3/22/2013,"Chicken Alfredo with Whole Wheat Rotini
Chicken Patty on Whole Grain Bun
Grilled Cheese on Whole Wheat Bread
*Italian Dunkers & Marinara Sauce
Tuna Sandwich on Whole Wheat Bread",lunch
3/25/2013,"*Nachos with Beans & Cheese
Whole Grain Chicken Corn Dog
Rib b Que on a Bun
*Cheese or Pepperoni Pizza
Chicken Taco Salad & Tortilla Chips",lunch
3/26/2013,"Chicken Hip Dipper & Brown Rice
Cheeseburger on Whole Grain Bun
*Bean & Cheese Burrito
Whole Grain *Cheese Quesadilla
Turkey & Cheese Sandwich on Whole Wheat",lunch
3/27/2013,"Hot Ham & Cheese on Whole Grain Bun
Spaghetti & Meatballs with Marinara Sauce
Turkey Hot Dog on a Bun
*Peanut Butter or *Sun Butter & Jelly on Whole Wheat w/String Cheese
*Cheese or Pepperoni Pizza",lunch
3/28/2013,"Teriyaki Beef Dippers & Brown Rice
Whole Grain Chicken Nuggets & Wheat Roll
Chef Salad & Wheat Roll
*Yogurt & String Cheese w/Cinnamon Goldfish Grahams
Half Ham & Cheese Sandwich on Whole Wheat & Sunflower Seeds",lunch
3/29/2013,"Fish Patty on Whole Grain Bun
Chicken Patty on Whole Grain Bun
Grilled Cheese on Whole Wheat Bread
*Italian Dunkers & Marinara Sauce
Tuna Sandwich on WholeWheat Bread",lunch
