Date,Menu,Meal
5/1/2013,"Chicken Quesadilla on Whole Grain Tortilla
Spaghetti & Meatballs w/Marinara Sauce
Turkey Hot Dog on a Bun
Peanut Butter* or Sun Butter* & Jelly on Whole Wheat w/String Cheese
Cheese* or Pepperoni Pizza on Whole Grain Crust",lunch
5/2/2013,"Beefy Macaroni
Whole Grain Chicken Nuggets & Wheat Roll
Chef Salad & Wheat Roll
Yogurt & String Cheese w/Cinnamon Goldfish Grahams*
Half Ham & Cheese Sandwich on Whole Wheat w/Sunflower Seeds",lunch
5/3/2013,"Chicken Alfredo with Whole Wheat Rotini
Chicken Patty on Whole Grain Bun
Grilled Cheese on Whole Wheat Bread*
Italian Dunkers* with or without Marinara Sauce
Tuna Sandwich on Whole Wheat Bread
Fiesta Cookie with all Meals",lunch
5/6/2013,"Nachos with Beans & Cheese*
Whole Grain Chicken Corn Dog
Rib b Que on a Bun
Cheese* or Pepperoni Pizza on Whole Grain Crust
Chicken Taco Salad & Tortilla Chips",lunch
5/7/2013,"Chicken Tenders & Brown Rice
Cheeseburger on Whole Grain Bun
Bean & Cheese Burrito on Whole Grain*
Cheese Quesadilla on Whole Grain Tortilla*
Turkey & Cheese Sandwich on Whole Wheat Bread",lunch
5/8/2013,"Hot Ham & Cheese on Whole Grain Bun
Spaghetti & Meatballs w/Marinara Sauce
Turkey Hot Dog on a Bun
Peanut Butter* or Sun Butter* & Jelly on Whole Wheat w/String Cheese
Cheese* or Pepperoni Pizza on Whole Grain Crust",lunch
5/9/2013,"Teriyaki Beef Dippers & Brown Rice
Whole Grain Chicken Nuggets & Wheat Roll
Chef Salad & Wheat Roll
Yogurt & String Cheese w/Cinnamon Goldfish Grahams*
Half Ham & Cheese Sandwich on Whole Wheat w/Sunflower Seeds",lunch
5/10/2013,"Fish Patty on Whole Grain Bun
Chicken Patty on Whole Grain Bun
Grilled Cheese on Whole Wheat Bread*
Italian Dunkers* with or without Marinara Sauce
Tuna Sandwich on Whole Wheat Bread",lunch
5/13/2013,"Rainbow Chili* & Tortilla Chips
Whole Grain Chicken Corn Dog
Rib b Que on a Bun
Cheese* or Pepperoni Pizza on Whole Grain Crust
Chicken Taco Salad & Tortilla Chips",lunch
5/14/2013,"Beef Soft Tacos
Cheeseburger on Whole Grain Bun
Bean & Cheese Burrito on Whole Grain*
Cheese Quesadilla on Whole Grain Tortilla*
Turkey & Cheese Sandwich on Whole Wheat Bread",lunch
5/15/2013,"Meatball Sub on a Bun
Spaghetti & Meatballs w/Marinara Sauce
Turkey Hot Dog on a Bun
Peanut Butter* or Sun Butter* & Jelly on Whole Wheat w/String Cheese
Cheese* or Pepperoni Pizza on Whole Grain Crust",lunch
5/16/2013,"Turkey Gravy w/Mashed Potatoes & Wheat Roll
Whole Grain Chicken Nuggets & Wheat Roll
Chef Salad & Wheat Roll Yogurt & String Cheese w/Cinnamon Goldfish Grahams*
Half Ham & Cheese Sandwich on Whole Wheat w/Sunflower Seeds",lunch
5/17/2013,"Fish Sticks & Brown Rice
Chicken Patty on Whole Grain Bun
Grilled Cheese on Whole Wheat Bread*
Italian Dunkers* with or without Marinara Sauce
Tuna Sandwich on Whole Wheat Bread",lunch
5/20/2013,"Turkey & Cheese Hearty Grain Wrap
Whole Grain Chicken Corn Dog
Rib b Que on a Bun
Cheese* or Pepperoni Pizza on Whole Grain Crust
Chicken Taco Salad & Tortilla Chips",lunch
5/21/2013,"Chicken Tenders & Brown Rice
Cheeseburger on Whole Grain Bun
Bean & Cheese Burrito on Whole Grain*
Cheese Quesadilla on Whole Grain Tortilla*
Turkey & Cheese Sandwich on Whole Wheat Bread",lunch
5/22/2013,"Chicken Quesadilla on Whole Grain Tortilla
Spaghetti & Meatballs w/Marinara Sauce
Turkey Hot Dog on a Bun
Peanut Butter* or Sun Butter* & Jelly on Whole Wheat w/String Cheese
Cheese* or Pepperoni Pizza on Whole Grain Crust",lunch
5/23/2013,"Beefy Macaroni
Whole Grain Chicken Nuggets & Wheat Roll
Chef Salad & Wheat Roll Yogurt & String Cheese w/Cinnamon Goldfish Grahams*
Half Ham & Cheese Sandwich on Whole Wheat w/Sunflower Seeds",lunch
5/24/2013,"Chicken Alfredo with Whole Wheat Rotini
Chicken Patty on Whole Grain Bun
Grilled Cheese on Whole Wheat Bread*
Italian Dunkers* with or without Marinara Sauce
Tuna Sandwich on Whole Wheat Bread",lunch
5/28/2013,"Chicken Tenders & Brown Rice
Cheeseburger on Whole Grain Bun
Bean & Cheese Burrito on Whole Grain*
Cheese Quesadilla on Whole Grain Tortilla*
Turkey & Cheese Sandwich on Whole Wheat Bread",lunch
5/29/2013,"Hot Ham & Cheese on Whole Grain Bun
Spaghetti & Meatballs w/Marinara Sauce
Turkey Hot Dog on a Bun Peanut Butter* & Jelly on
Whole Wheat w/String Cheese Cheese* or Pepperoni Pizza on Whole Grain Crust
LUCKY TRAY DAY!",lunch
5/30/2013,"Teriyaki Beef Dippers & Brown Rice
Whole Grain Chicken Nuggets & Wheat Roll
Chef Salad & Wheat Roll
Yogurt & String Cheese w/Cinnamon Goldfish Grahams*
Half Ham & Cheese Sandwich on Whole Wheat w/Sunflower Seeds",lunch
5/31/2013,"Fish Patty on Whole Grain Bun
Chicken Patty on Whole Grain Bun
Grilled Cheese on Whole Wheat Bread*
Italian Dunkers* with or without Marinara Sauce
Tuna Sandwich on Whole Wheat Bread",lunch
