Date,Menu,Meal
2/1/2013,"Orange Chicken & Brown Rice
Hamburger on a Whole Grain Bun
Cheese* or Pepperoni Pizza on Whole Grain Crust
Turkey & Cheese Sandwich on Whole Wheat
Vegetarian Taco Salad*",lunch
2/4/2013,"Nachos w/Beans & Cheese*
Chicken Patty on Whole Grain Bun
Grilled Cheese Sandwich on Whole Wheat*
Yogurt Parfait & Graham Crackers*
Peanut Butter or Sun Butter & Jelly on Whole Wheat",lunch
2/5/2013,"Fish Sticks & Brown Rice
Cheesburger on Whole Grain Bun
Turkey Sandwich on Whole Wheat
Italian Dunkers & Marinara Sauce*
Beef Taco Salad & Tortilla Chips*",lunch
2/6/2013,"Chicken Soft Tacos
Turkey Hot Dog on a Bun
Cheese* or Pepperoni Pizza on Whole Grain Crust
American Combo Sandwich on Whole Wheat
Crispy Chicken Salad & Wheat Dinner Roll",lunch
2/7/2013,"Beefy Macaroni
Chicken Tenders
Bean & Cheese Tostada Bowl*
Yogurt & String Cheese w/Graham Crackers*
Chicken Caesar Salad & Wheat Dinner Roll",lunch
2/8/2013,"Whole Grain Chicken Corn Dog
Hamburger on a Whole Grain Bun
Cheese* or Pepperoni Pizza on Whole Grain Crust
Turkey & Cheese Sandwich on Whole Wheat
Vegetarian Taco Salad*",lunch
2/11/2013,"French Toast Sticks & Sausage
Chicken Patty on Whole Grain Bun
Grilled Cheese Sandwich on Whole Wheat*
Yogurt Parfait & Graham Crackers*
Peanut Butter or Sun Butter & Jelly on Whole Wheat*",lunch
2/12/2013,"Rib b que on a Bun Cheesburger on Whole Grain Bun
Turkey Sandwich on Whole Wheat
Italian Dunkers & Marinara Sauce*
Beef Taco Salad & Tortilla Chips",lunch
2/13/2013,"Beef Soft Tacos
Turkey Hot Dog on a Bun
Cheese* or Pepperoni Pizza on Whole Grain Crust
American Combo Sandwich on Whole Wheat
Crispy Chicken Salad & Wheat Dinner Roll",lunch
2/19/2013,"Cheese Quesadilla*
Cheesburger on Whole Grain Bun
Turkey Sandwich on Whole Wheat
Italian Dunkers & Marinara Sauce*
Beef Taco Salad & Tortilla Chips*",lunch
2/20/2013,Pizza Day!,lunch
2/21/2013,"Teriyaki Beef Dippers & Brown Rice
Chicken Tenders
Bean & Cheese Tostada Bowl*
Yogurt & String Cheese w/Graham Crackers*
Chicken Caesar Salad & Wheat Dinner Roll",lunch
2/22/2013,"Orange Chicken & Brown Rice
Hamburger on a Whole Grain Bun
Cheese* or Pepperoni Pizza on Whole Grain Crust
Turkey & Cheese Sandwich on Whole Wheat
Vegetarian Taco Salad*",lunch
2/25/2013,"Nachos w/Beans & Cheese*
Chicken Patty on Whole Grain Bun
Grilled Cheese Sandwich on Whole Wheat*
Yogurt Parfait & Graham Crackers*
Peanut Butter or Sun Butter & Jelly on Whole Wheat",lunch
2/26/2013,"Fish Sticks & Brown Rice
Cheesburger on Whole Grain Bun
Turkey Sandwich on Whole Wheat
Italian Dunkers & Marinara Sauce*
Beef Taco Salad & Tortilla Chips",lunch
2/27/2013,"Chicken Soft Tacos
Turkey Hot Dog on a Bun
Cheese* or Pepperoni Pizza on Whole Grain Crust
American Combo Sandwich on Whole Wheat
Crispy Chicken Salad & Wheat Dinner Roll",lunch
2/28/2013,"Beefy Macaroni
Chicken Tenders
Bean & Cheese Tostada Bowl*
Yogurt & String Cheese w/Graham Crackers*
Chicken Caesar Salad & Wheat Dinner Roll
Lucky Tray Day!",lunch
