Date,Menu,Meal
1/7/2013,"Cheese Quesadilla*
Cheeseburger on Whole Wheat Bun
Turkey Sandwich on Whole Wheat Bread
Italian Dunkers & Marinara Sauce*
Beef Taco Salad",lunch
1/8/2013,"Spaghetti w/Marinara Sauce & Cheese*
Chicken Patty on Whole Wheat Bun
Grilled Cheese Sandwich on Whole Wheat*
Yogurt Parfait & Graham Crackers*
Peanut Butter or Sun Butter & Jelly on Whole Wheat*",lunch
1/9/2013,"Bean & Cheese Burrito*
Turkey Hot Dog on a Bun
Cheese* or Pepperoni Pizza
American Combo Sandwich on Whole Wheat
Crispy Chicken Salad & Wheat Dinner Roll",lunch
1/10/2013,"Teriyaki Beef Dippers & Brown Rice
Chicken Tenders
Bean & Cheese Tostada Bowl*
Yogurt & String Cheese w/Graham Crackers*
Chicken Caesar Salad &Wheat Dinner Roll",lunch
1/11/2013,"Orange Chicken & Brown Rice
Hamburger on a Whole Wheat Bun
Cheese* or Pepperoni Pizza
Turkey & Cheese Sandwich on Whole Wheat
Vegetarian Taco Salad*",lunch
1/14/2013,"Fish Sticks & Brown Rice
Cheeseburger on Whole Wheat Bun
Turkey Sandwich on Whole Wheat Bread
Italian Dunkers & Marinara Sauce*
Beef Taco Salad",lunch
1/15/2013,"Nachos w/Beans & Cheese*
Chicken Patty on Whole Wheat Bun
Grilled Cheese Sandwich on Whole Wheat*
Yogurt Parfait & Graham Crackers*
Peanut Butter or Sun Butter & Jelly on Whole Wheat*",lunch
1/16/2013,"Chicken Soft Tacos
Turkey Hot Dog on a Bun
Cheese* or Pepperoni Pizza
American Combo Sandwich on Whole Wheat
Crispy Chicken Salad & Wheat Dinner Roll",lunch
1/17/2013,"Beefy Macaroni
Chicken Tenders
Bean & Cheese Tostada Bowl*
Yogurt & String Cheese w/Graham Crackers*
Chicken Caesar Salad & Wheat Dinner Roll",lunch
1/18/2013,"Whole Grain Chicken Corn Dog
Hamburger on a Whole Wheat Bun
Cheese* or Pepperoni Pizza
Turkey & Cheese Sandwich on Whole Wheat
Vegetarian Taco Salad*",lunch
1/22/2013,"Breakfast for Lunch
Chicken Patty on Whole Wheat Bun
Grilled Cheese Sandwich on Whole Wheat*
Yogurt Parfait & Graham Crackers*
Peanut Butter or Sun Butter & Jelly on Whole Wheat*",lunch
1/23/2013,"Beef Soft Tacos
Turkey Hot Dog on a Bun
Cheese* or Pepperoni Pizza
American Combo Sandwich on Whole Wheat
Crispy Chicken Salad & Wheat Dinner Roll",lunch
1/24/2013,"Half Ham & Cheese
Sandwich & Sunflower Seeds
Chicken Tenders
Bean & Cheese Tostada Bowl*
Yogurt & String Cheese w/Graham Crackers*
Chicken Caesar Salad & Wheat Dinner Roll",lunch
1/25/2013,"Chicken Alfredo & Pasta
Hamburger on a Whole Wheat Bun
Cheese* or Pepperoni Pizza
Turkey & Cheese Sandwich on Whole Wheat
Vegetarian Taco Salad*",lunch
1/28/2013,"Cheese Quesadilla*
Cheeseburger on Whole Wheat Bun
Turkey Sandwich on Whole Wheat Bread
Italian Dunkers & Marinara Sauce*
Beef Taco Salad",lunch
1/29/2013,"Spaghetti w/Marinara Sauce & Cheese*
Chicken Patty on Whole Wheat Bun
Grilled Cheese Sandwich on Whole Wheat*
Yogurt Parfait & Graham Crackers*
Peanut Butter or Sun Butter & Jelly on Whole Wheat*",lunch
1/30/2013,"Bean & Cheese Burrito*
Turkey Hot Dog on a Bun
Cheese* or Pepperoni Pizza
American Combo Sandwich on Whole Wheat
Crispy Chicken Salad & Wheat Dinner Roll",lunch
1/31/2013,"Teriyaki Beef Dippers & Brown Rice
Chicken Tenders
Bean & Cheese Tostada Bowl*
Yogurt & String Cheese w/Graham Crackers*
Chicken Caesar Salad & Wheat Dinner Roll",lunch
